REF_AREA_LABEL,short_indicator,year,value,indicator_label
"Hong Kong SAR, China",atm_per_100k_adults,2017,50.46611575000065,"ATMs per 100,000 adults"
"Hong Kong SAR, China",atm_per_100k_adults,2018,51.59635323045526,"ATMs per 100,000 adults"
"Hong Kong SAR, China",atm_per_100k_adults,2019,52.66507868915114,"ATMs per 100,000 adults"
"Hong Kong SAR, China",atm_per_100k_adults,2020,51.2252167881307,"ATMs per 100,000 adults"
"Hong Kong SAR, China",atm_per_100k_adults,2021,50.06420354830801,"ATMs per 100,000 adults"
"Hong Kong SAR, China",atm_per_100k_adults,2022,48.89560863954845,"ATMs per 100,000 adults"
"Hong Kong SAR, China",atm_per_100k_adults,2023,46.0637007488026,"ATMs per 100,000 adults"
"Hong Kong SAR, China",atm_per_100k_adults,2024,46.03859430211506,"ATMs per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2017,21.05813375386391,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2018,21.10897863045979,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2019,20.78013533420507,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2020,19.91756958644376,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2021,19.40367161766241,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2022,18.74840993772686,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2023,17.92026551711482,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",bank_branches_per_100k_adults,2024,17.5540704726129,"Bank branches per 100,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2017,2886.661820900037,"Credit cards per 1,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2018,2953.132452543116,"Credit cards per 1,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2019,2965.495345159402,"Credit cards per 1,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2020,2918.180070497951,"Credit cards per 1,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2021,2889.918222399149,"Credit cards per 1,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2022,2977.895364925499,"Credit cards per 1,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2023,2925.936553047329,"Credit cards per 1,000 adults"
"Hong Kong SAR, China",credit_cards_per_1000_adults,2024,3110.575347283225,"Credit cards per 1,000 adults"
Indonesia,atm_per_100k_adults,2017,54.32316050704347,"ATMs per 100,000 adults"
Indonesia,atm_per_100k_adults,2018,53.75686250971738,"ATMs per 100,000 adults"
Indonesia,atm_per_100k_adults,2019,52.95603613704136,"ATMs per 100,000 adults"
Indonesia,atm_per_100k_adults,2020,51.3467817214524,"ATMs per 100,000 adults"
Indonesia,atm_per_100k_adults,2021,47.99230934566829,"ATMs per 100,000 adults"
Indonesia,atm_per_100k_adults,2022,47.31503437917069,"ATMs per 100,000 adults"
Indonesia,atm_per_100k_adults,2023,45.4759646765898,"ATMs per 100,000 adults"
Indonesia,atm_per_100k_adults,2024,45.63705078811676,"ATMs per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2017,16.49819031798116,"Bank branches per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2018,15.95291630815684,"Bank branches per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2019,15.51057863470601,"Bank branches per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2020,15.13212530675402,"Bank branches per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2021,15.76537142405275,"Bank branches per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2022,12.23034965851201,"Bank branches per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2023,11.55079743283018,"Bank branches per 100,000 adults"
Indonesia,bank_branches_per_100k_adults,2024,11.22961873788292,"Bank branches per 100,000 adults"
Indonesia,credit_cards_per_1000_adults,2017,87.83207962503089,"Credit cards per 1,000 adults"
Indonesia,credit_cards_per_1000_adults,2018,86.87071970643576,"Credit cards per 1,000 adults"
Indonesia,credit_cards_per_1000_adults,2019,86.83112100652627,"Credit cards per 1,000 adults"
Indonesia,credit_cards_per_1000_adults,2020,83.11354905045889,"Credit cards per 1,000 adults"
Indonesia,credit_cards_per_1000_adults,2021,80.17226623711397,"Credit cards per 1,000 adults"
Indonesia,credit_cards_per_1000_adults,2022,82.54457504826291,"Credit cards per 1,000 adults"
Indonesia,credit_cards_per_1000_adults,2023,83.98611296720632,"Credit cards per 1,000 adults"
Indonesia,credit_cards_per_1000_adults,2024,86.77966234271142,"Credit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2017,792.8637867518823,"Debit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2018,766.7803820686244,"Debit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2019,866.2004068650654,"Debit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2020,1001.397241437401,"Debit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2021,1074.392356667514,"Debit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2022,1206.880091219604,"Debit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2023,1333.51594657205,"Debit cards per 1,000 adults"
Indonesia,debit_cards_per_1000_adults,2024,1504.786005121799,"Debit cards per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2017,1527.930171504981,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2018,1554.772103408208,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2019,1602.278742690658,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2020,1851.801772867672,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2021,2097.242697564238,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2022,1847.025096909791,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2023,2002.771802898834,"Deposit accounts per 1,000 adults"
Indonesia,deposit_accounts_per_1000_adults,2024,2171.520997309907,"Deposit accounts per 1,000 adults"
"Korea, Rep.",atm_per_100k_adults,2017,271.9355899519652,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2018,266.2797560670538,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2019,263.3225200656824,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2020,258.1917258884229,"ATMs per 100,000 adults"
"Korea, Rep.",atm_per_100k_adults,2021,256.8552327448044,"ATMs per 100,000 adults"
